"","GRID_ID","Dist2Coast","dif_dist_all","lon_first_point","lat_first_point"
"785","GD-111",2.97566768211109,324.939159466209,-99.8205624479144,16.8302282139018
"786","ED-83",1.51722297794363,324.768595999394,-99.9580291295436,16.9120210434612
"787","EC-86",0.332826454195644,324.763562328362,-99.9606727196095,16.9017988771393
"788","EA-82",1.24202395339922,324.750955472739,-99.9659598997412,16.9134813074332
"789","CM-72",0.187776493981409,324.696819392674,-100.07170350058,16.9426842134894
"790","CH-69",0.907043365508416,324.689268172153,-100.084921450909,16.9529041601087
"791","CH-71",0.254362498521058,324.689262100872,-100.084921450909,16.9470642587562
"792","CL-72",0.258978380677119,324.689248273133,-100.074347090646,16.9441442404864
"793","CT-70",1.63002515821965,324.687982246927,-100.053198371017,16.9499842325388
"794","CS-69",1.69248373077414,324.686737639614,-100.055841961083,16.9514442019933
"795","CN-70",1.08662843961824,324.685467961903,-100.069059910514,16.9499842325388
"796","CA-69",0.235143097928249,324.685467960669,-100.10342658137,16.9514442019933
"797","CO-68",1.65935206523918,324.685463024423,-100.066416320448,16.954364106884
"798","CK-69",0.989964196977039,324.685444975697,-100.076990680712,16.9514442019933
"799","CJ-69",1.07110411233762,324.684216198279,-100.079634270777,16.9529041601087
"800","CL-69",1.23516483129216,324.682962353421,-100.074347090646,16.9529041601087
"801","CN-69",1.40997978049934,324.682962349407,-100.069059910514,16.9529041601087
"802","CM-68",1.48118166719562,324.68168395039,-100.07170350058,16.954364106884
"803","CU-67",2.52904466691565,324.672874288679,-100.050554780951,16.9572839672702
"804","CU-66",2.85002112804187,324.670330560309,-100.050554780951,16.9602037814266
"805","BP-66",0.498809636067038,324.667829109828,-100.132506071197,16.9616636723479
"806","BR-65",1.0283981436228,324.665290292594,-100.127218891065,16.9645834184355
"807","BO-64",0.834114727811047,324.657718072853,-100.135149661263,16.9660432744593
"808","BL-63",0.945724013767734,324.650143734087,-100.14308043146,16.9704227752998
"809","BI-62",0.742390742014561,324.647619519682,-100.151011201658,16.9718825859272
"810","BJ-61",1.32712033216854,324.643847128198,-100.148367611592,16.9762619505579
"811","BH-61",1.09285923004648,324.64384502894,-100.153654791724,16.9762619505579
"812","BK-61",1.29091482217222,324.642575827641,-100.145724021526,16.9748021739868
"813","BL-59",2.18656418025749,324.642568254468,-100.14308043146,16.982100944155
"814","BM-60",1.841373371855,324.64006696242,-100.140436841394,16.9777217157753
"815","AY-59",0.531016869032532,324.631221759973,-100.177447102317,16.9806412130042
"816","AX-59",0.578036156419602,324.628685499177,-100.180090691484,16.982100944155
"817","AZ-58",1.11420799089486,324.627395947899,-100.174803512251,16.9850203723838
"818","BC-59",0.978007163057334,324.626179556726,-100.166872742053,16.9806412130042
"819","AW-58",0.62828952345232,324.626159658956,-100.18273428155,16.9835606639484
"820","AY-57",1.16013065917628,324.624895841797,-100.177447102317,16.9864800703193
"821","AS-57",0.509008852769136,324.622372183532,-100.193308641814,16.9864800703193
"822","AX-57",1.21038393316369,324.618581002995,-100.180090691484,16.9879397560359
"823","AS-56",0.8243576780387,324.617314050702,-100.193308641814,16.9893994303917
"824","AR-58",0.241703733842314,324.617311021373,-100.19595223188,16.9850203723838
"825","AY-56",1.47630459406977,324.617295671129,-100.177447102317,16.9893994303917
"826","AW-56",1.26063730019595,324.61605439967,-100.18273428155,16.9893994303917
"827","AO-56",0.399965299299867,324.616045236223,-100.203883002077,16.9893994303917
"828","AT-56",1.09166279696881,324.613538218983,-100.190665051748,16.9908590933861
"829","AS-55",1.13970641050894,324.61101123546,-100.193308641814,16.9923187458771
"830","AU-55",1.3589679158945,324.611011234548,-100.188021461682,16.9923187458771
"831","AR-55",1.19186041416326,324.608473445851,-100.19595223188,16.9937783861457
"832","AM-54",0.85235274708055,324.607206114045,-100.209170182209,16.9952380150502
"833","AW-53",2.20892697902035,324.604699881123,-100.18273428155,16.9981572396226
"834","AJ-54",0.753145541455435,324.603429135635,-100.217100952407,16.9966976325898
"835","AV-53",2.2569705925635,324.602156305205,-100.185377871616,16.9996168344295
"836","AU-52",2.30501429890737,324.599644385776,-100.188021461682,17.0010764178689
"837","BF-64",0.046931582291724,324.117872280525,-100.158941971856,16.9675031199946
"838","GC-106",2.79688913958282,324.100657646177,-99.8232060379803,16.8433758777989
"839","EL-84",2.73418045709304,323.196354430463,-99.9368804090165,16.9091004815702
"840","GB-102",2.86850812088695,323.1738133989,-99.8258496280462,16.8565226275225
"841","AM-57",0.0448225211311238,322.354481302253,-100.209170182209,16.9864800703193
"842","AN-58",0.0468330790920619,320.948899822112,-100.206526592143,16.9850203723838
"843","EF-83",1.80349155345907,317.317234005739,-99.9527419494118,16.9120210434612
"844","EA-87",0,317.097809541476,-99.9659598997412,16.8988781568789
"845","ET-111",0.000636805374079693,313.060391092728,NA,NA
"846","GB-103",2.73960644873808,312.191458540919,-99.8258496280462,16.8536012060668
"847","GT-127",1.81608673778296,311.931229533184,-99.7782650077586,16.783473580364
"848","GG-121",1.04812829852584,311.876570199408,-99.8126316786151,16.7995467849527
"849","GE-115",2.15978938808797,311.872125879614,-99.8179188578485,16.8170796381797
"850","GE-122",0.526277201260488,311.859139033295,-99.8179188578485,16.7966244856436
"851","ED-80",2.41212677669679,311.660289549372,-99.9580291295436,16.9207824592422
"852","CN-66",2.3800336128336,311.633440825542,-100.069059910514,16.9616636723479
"853","BG-59",1.44310407569702,311.609567903462,-100.15629838179,16.9806412130042
"854","CK-73",1.78820063547339e-06,311.609057320631,-100.076990680712,16.9397641272127
"855","BE-55",2.4590831880683,311.568328426097,-100.161585561921,16.9923187458771
"856","EH-83",2.12560026096659,309.68663920516,-99.9474547692801,16.9120210434612
"857","GC-107",2.79221681728041,308.554830858811,-99.8232060379803,16.8404542533303
"858","EJ-83",2.50717275275474,304.422879155951,-99.9421675891483,16.9120210434612
"859","GP-128",0.805946076008642,301.690550959632,-99.7888393680222,16.7805510328276
"860","GH-125",0.156439110296603,301.617687418827,-99.8099880885492,16.7893185396887
"861","EI-84",1.9412895065741,301.397817474302,-99.9448111792142,16.9076401827934
"862","EL-83",2.93876912525324,300.731121795131,-99.9368804090165,16.9120210434612
"863","GB-104",2.64494009228709,299.678881724355,-99.8258496280462,16.8506797403448
"864","AR-59",0.0511539212217679,298.576345175463,-100.19595223188,16.982100944155
